# Water withdrawals by subsector,,,,,
sector,subsector,var1,var2,var3,unit_conv
biomass,biomassTree_NelsonR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_PacArctic,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_StLwrncR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_UsaCstNE,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_UsaPacNW,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_Caribbean,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_CntAmer,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_ColEcuaCst,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_GrijUsuR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_SAmerCstN,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_YucatanP,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_Caribbean,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_CntAmer,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_ColEcuaCst,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_GrijUsuR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_SAmerCstN,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_YucatanP,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_AmuDaryaR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_AmurR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_BlackSeaS,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_CaspianE,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_CaspianNE,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_CaspianSW,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_Gobi,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_LBalkash,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_ObR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_SyrDaryaR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_UralR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_VolgaR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_YeniseiR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_AmurR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_BlackSeaS,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_CaspianNE,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_CaspianSW,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_Gobi,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_LBalkash,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_ObR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_SyrDaryaR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_VolgaR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_YeniseiR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_BoHai,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
