# map to pair energy consumption and en_prices to compute the parent categories and World en_prices weighted by energy consumption
en_consumption_var,en_price_var
Secondary Energy|Electricity|Non-Biomass Renewables,NoReported
Secondary Energy|Electricity|Nuclear,NoReported
Secondary Energy|Electricity|Oil,NoReported
Secondary Energy|Electricity|Oil|w/o CCS,NoReported
Secondary Energy|Electricity|Solar,NoReported
Secondary Energy|Electricity|Solar|CSP,NoReported
Secondary Energy|Electricity|Solar|PV,NoReported
Secondary Energy|Electricity|Wind,NoReported
Secondary Energy|Electricity|Wind|Offshore,NoReported
Secondary Energy|Electricity|Wind|Onshore,NoReported
Secondary Energy|Gases,Price|Secondary Energy|Gases
Secondary Energy|Gases|Biomass,Price|Secondary Energy|Gases|Biomass
Secondary Energy|Gases|Coal,Price|Secondary Energy|Gases|Coal
Secondary Energy|Gases|Fossil,Price|Secondary Energy|Gases|Fossil
Secondary Energy|Gases|Gas,Price|Secondary Energy|Gases|Gas
Secondary Energy|Hydrogen,Price|Secondary Energy|Hydrogen
Secondary Energy|Hydrogen|Biomass,Price|Secondary Energy|Hydrogen|Biomass
Secondary Energy|Hydrogen|Biomass|w/o CCS,NoReported
Secondary Energy|Hydrogen|Electricity,Price|Secondary Energy|Hydrogen|Electricity
Secondary Energy|Hydrogen|Fossil,Price|Secondary Energy|Hydrogen|Fossil
Secondary Energy|Hydrogen|Fossil|w/o CCS,NoReported
Secondary Energy|Hydrogen|Gas,Price|Secondary Energy|Hydrogen|Gas
Secondary Energy|Hydrogen|Gas|w/o CCS,NoReported
Secondary Energy|Hydrogen|Nuclear,Price|Secondary Energy|Hydrogen|Nuclear
Secondary Energy|Liquids,Price|Secondary Energy|Liquids
Secondary Energy|Liquids|Biomass,Price|Secondary Energy|Liquids|Biomass
Secondary Energy|Liquids|Biomass|w/o CCS,NoReported
Secondary Energy|Liquids|Coal,Price|Secondary Energy|Liquids|Coal
Secondary Energy|Liquids|Coal|w/o CCS,NoReported
Secondary Energy|Liquids|Fossil,Price|Secondary Energy|Liquids|Fossil
Secondary Energy|Liquids|Fossil|w/o CCS,NoReported
Secondary Energy|Liquids|Gas,Price|Secondary Energy|Liquids|Gas
Secondary Energy|Liquids|Oil,Price|Secondary Energy|Liquids|Oil
