"Model","Scenario","Region","Variable","Unit","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"GCAM 7.1","Reference","India","Agricultural Demand|Crops","million t DM/yr",366.232549617465,434.048063532441,481.666730079616,540.564738390888,602.106292881057,658.037604576681,710.391451322616,760.615844688619,807.453254641426,847.786774399588,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Indonesia","Agricultural Demand|Crops","million t DM/yr",126.499609950443,156.307571542261,180.921544275606,207.613107767777,233.253502922274,262.080400135583,289.287426063506,320.634681972641,353.200919615981,380.004878032611,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Japan","Agricultural Demand|Crops","million t DM/yr",54.6949333520855,53.475654991376,53.8668300858095,55.3571901550563,55.0806779242788,54.7528171004304,54.1182285419557,53.3500722660303,57.4787771954415,61.2609530594785,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Mexico","Agricultural Demand|Crops","million t DM/yr",67.0473191931022,65.3019232913642,69.5824921230418,74.2965492409925,79.2710694022584,84.3921248243648,89.0599971110216,93.6915513168077,98.4765528515208,103.057910856493,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Middle East","Agricultural Demand|Crops","million t DM/yr",90.3971032323547,101.663065892843,123.638946179176,136.191083923539,149.505673040022,165.655224121517,182.23600657756,199.799865090448,217.697751451326,234.600039514522,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Pakistan","Agricultural Demand|Crops","million t DM/yr",50.6513024971987,59.0324256555534,66.9364814286585,74.4667187663309,81.2512655813534,89.2085184544162,97.5295120050155,106.327095220452,115.535372458645,124.591247660343,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Russia","Agricultural Demand|Crops","million t DM/yr",80.6552187753461,88.3640035684855,98.6495277689436,100.297147478274,101.506033085227,103.392093429915,105.772779276235,110.12917228837,115.845925286838,121.061883222906,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","South Africa","Agricultural Demand|Crops","million t DM/yr",21.1447783822601,22.0523423452005,24.4705653275962,25.6199618272146,27.0460168952616,28.8807991938038,30.634682637238,32.4238980412912,34.2222469702193,35.9057745674963,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","South America_Northern","Agricultural Demand|Crops","million t DM/yr",11.2568644208564,14.11359752113,12.7861701342125,11.1723199034754,11.6456948294887,12.5155258197227,13.3597449004393,14.150081497999,14.898650948383,15.6401263489264,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","South America_Southern","Agricultural Demand|Crops","million t DM/yr",36.7712663031834,43.7444677603892,51.4736345698741,55.5977004320897,60.0649782990636,64.625093454752,68.7923605555036,73.0903233804233,77.3330243738714,80.9818941778371,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","South Asia","Agricultural Demand|Crops","million t DM/yr",71.6596651905526,88.3361371769708,105.246390064037,116.462507694989,128.482770906044,140.566821308919,152.391331148201,164.202262102332,175.840804205102,187.075237256605,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","South Korea","Agricultural Demand|Crops","million t DM/yr",26.2638681433797,31.9406468996842,36.0455375829703,38.2157868196815,39.2118792521353,39.9490955084263,40.5106260113323,42.2947958223058,45.1939306529947,47.8918785566835,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Southeast Asia","Agricultural Demand|Crops","million t DM/yr",225.409016566233,260.102529182926,281.007531589132,315.465373374711,350.6010931589,385.044163679598,420.683018954525,464.177558358561,514.293026980252,559.78125992989,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Taiwan","Agricultural Demand|Crops","million t DM/yr",13.2878180430195,13.0660762599651,13.534545696501,13.9999729401514,14.2514479682707,14.4745795473891,15.1711941402538,17.1268461691609,20.6221341382364,24.3348212885149,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","USA","Agricultural Demand|Crops","million t DM/yr",339.986163063259,371.055300232975,415.438803887492,454.672591774311,468.120989325418,474.254574310542,475.579832711398,492.145596452054,543.63114728795,588.530855757045,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","World","Agricultural Demand|Crops","million t DM/yr",3484.48632891044,3975.62942406717,4425.6906915924,4819.41911009526,5176.53297422416,5518.00989076602,5831.50870267088,6193.80215839592,6629.35316632549,7027.82416606162,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Africa_Eastern","Agricultural Demand|Crops|Bioenergy","million t DM/yr",0.978336,1.089174228,1.251574126,1.43738557280839,1.91350018723061,2.85851347835959,4.08961855639405,5.76862604569745,7.95220205322853,10.387366702982,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Africa_Northern","Agricultural Demand|Crops|Bioenergy","million t DM/yr",0.0898756,0.145108,0.162963,0.247808261478532,0.411383107476753,0.699432478732053,1.04060063383083,1.50948404912794,2.09237148952158,2.68793461724572,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Africa_Southern","Agricultural Demand|Crops|Bioenergy","million t DM/yr",0.497361,0.633672,0.84586934,0.907648898028382,1.72286400149964,3.08849784205029,4.70472181642692,7.00376895028007,10.1593079093711,14.0243554713401,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Africa_Western","Agricultural Demand|Crops|Bioenergy","million t DM/yr",1.2956,1.68362,2.2996,2.90104526707909,4.00750700601594,6.35494993248478,9.287135645659,13.3389348506341,18.7490701665103,25.3061796347434,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Argentina","Agricultural Demand|Crops|Bioenergy","million t DM/yr",0.151265596,2.94115202,6.1585597,6.1031725,6.3454449,6.3610416,6.3361126,6.6164586,7.506498,8.7364172,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Australia_NZ","Agricultural Demand|Crops|Bioenergy","million t DM/yr",0.240088484,0.739236069379782,0.916837420501168,1.89091254031815,2.2120572100593,2.15990225670247,2.1158248607658,3.22769037501393,4.71996092098189,5.85432393170365,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Brazil","Agricultural Demand|Crops|Bioenergy","million t DM/yr",39.6661547523823,78.6209295534159,100.649150973536,107.500569313334,111.406120390039,114.493392621661,117.134591831882,134.806790377037,169.003171491242,202.194241377119,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Canada","Agricultural Demand|Crops|Bioenergy","million t DM/yr",0.82866148,4.32686154979155,6.50289530409871,9.73734985763784,10.2778327835601,9.7663384781052,10.0447384149767,12.8705364568541,16.956561770293,19.9903050134387,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Central America and Caribbean","Agricultural Demand|Crops|Bioenergy","million t DM/yr",4.23917045240957,1.63531507781423,1.71749671498275,1.33943247977515,1.58309804798704,2.15987203198849,3.35071337786466,5.75794685271113,9.5943426262335,13.9064291654371,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Central Asia","Agricultural Demand|Crops|Bioenergy","million t DM/yr",0.00663291,0.00750471,0.0128687350110824,0.476621655642848,0.79461210173491,1.11764041890288,1.62095106140465,2.47558343260869,3.66194068563108,4.74753156277839,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","China","Agricultural Demand|Crops|Bioenergy","million t DM/yr",3.15524364,8.691504,11.156799,19.2131582,25.7362618,32.849736,40.0096118,49.492706,61.18191,72.897984,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Colombia","Agricultural Demand|Crops|Bioenergy","million t DM/yr",0.0880432156758713,0.153338909955446,0.202313696725012,0.687673556049283,1.22302568430994,1.68074321877055,2.51302438027607,3.91778215822492,5.64277408239527,7.11040344612744,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","EU-12","Agricultural Demand|Crops|Bioenergy","million t DM/yr",0.464009736994209,5.35858275653071,5.86778666928238,7.89339015352186,8.08921923822217,7.74809138547607,7.53467719540191,8.72990585492065,11.3515024111602,13.8513112535846,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","EU-15","Agricultural Demand|Crops|Bioenergy","million t DM/yr",11.3012871303848,37.7840789797439,40.0714475825307,44.3451211176636,44.0440211194518,40.974296712101,37.2342048494933,43.1699933102663,63.9135670661596,84.0639314963577,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Europe_Eastern","Agricultural Demand|Crops|Bioenergy","million t DM/yr",0.0327284,0.12605742724149,0.255560580452841,0.89552086352115,1.06678480594827,1.23250594223387,1.58257207413199,2.13895265560185,2.84124766786995,3.40136755609089,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Europe_Non_EU","Agricultural Demand|Crops|Bioenergy","million t DM/yr",0.0334932,0.0709318935505427,0.561680660692106,1.09998162824513,1.42991751386382,1.58927403330291,2.12369979402297,3.26575952303344,4.98563868200958,6.60837665476596,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","European Free Trade Association","Agricultural Demand|Crops|Bioenergy","million t DM/yr",0.0842818326274472,0.317381326771733,0.50214218629145,0.623634322798041,0.64773109314823,0.62278939075863,0.596757478035123,0.984644943998046,1.75648280235598,2.43595337199994,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","India","Agricultural Demand|Crops|Bioenergy","million t DM/yr",2.10292682,2.24507982,3.83308552,13.348922,21.1485484,27.935188,33.48454296,38.6671192,43.02691808,45.03026456,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Indonesia","Agricultural Demand|Crops|Bioenergy","million t DM/yr",0.211087,0.7942946,2.597624,16.4019985611297,29.0130839350612,45.2994022527374,61.6402328553151,84.0978266693029,110.043878024277,132.077882882317,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Japan","Agricultural Demand|Crops|Bioenergy","million t DM/yr",0.226642,1.15540554,1.810854992,1.79577872,1.7444394,1.646190608,1.479541616,1.4164676,7.36459364,12.55265944,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Mexico","Agricultural Demand|Crops|Bioenergy","million t DM/yr",0.105487,0.057984,0.107671,0.395343716543113,0.588943138170943,0.896928689749475,1.56619154668705,2.89970972540965,5.13199213562474,7.66530722057197,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Middle East","Agricultural Demand|Crops|Bioenergy","million t DM/yr",0.017387,0.0210611,0.0190539,0.378267390568289,0.846727523714209,2.20882369587731,4.49677321754631,8.64095018450505,14.6128791748154,20.6773588924324,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Pakistan","Agricultural Demand|Crops|Bioenergy","million t DM/yr",0.13788,0.153941,0.182018,0.275992406656267,0.374674157807526,0.690782938389824,1.166174145134,1.91057498470549,3.01919949006796,4.10824405101099,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Russia","Agricultural Demand|Crops|Bioenergy","million t DM/yr",0.232471,0.237335,0.261457,0.857868344740573,0.884557382977833,0.939324377703774,2.10593853335922,5.72679721185966,11.1785360107342,16.3121912409939,0,0,0,0,0,0,0,0,0,0
