"Model","Scenario","Region","Variable","Unit","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"GCAM 7.0","Reference","European Free Trade Association","Agricultural Demand|Crops","million t DM/yr",5.58339123981319,6.00572140863224,6.77620551489593,7.18190949945849,7.67255215427088,7.98465735183079,8.28339448822094,8.89668171880456,9.90039246084797,10.8431432493329,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","India","Agricultural Demand|Crops","million t DM/yr",367.990876941082,436.721158716859,488.239162822603,546.286905152536,605.666981703034,659.866463813907,710.562244777833,758.999306346973,803.389832916752,841.229665583579,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","Indonesia","Agricultural Demand|Crops","million t DM/yr",129.525166912903,161.906278422158,187.780895631964,217.31225243393,245.347095552216,276.793622408167,306.500020563734,341.277677954065,377.666318819727,408.117117400268,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","Japan","Agricultural Demand|Crops","million t DM/yr",55.2157356631006,53.7853430490536,53.476566632281,54.8877557471972,54.7255718176777,54.4228156090938,53.8287469205836,53.8532883384131,58.8500842031987,62.5340482246013,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","Mexico","Agricultural Demand|Crops","million t DM/yr",67.6605694223607,65.1693699747348,71.0981607742525,75.6676701573605,80.619120832942,85.7046451641785,90.2877038430072,94.7916550864015,99.4101515950447,103.75677449475,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","Middle East","Agricultural Demand|Crops","million t DM/yr",92.1013685652681,103.805605974007,129.051408371404,141.830499741096,155.48528671751,171.907969071585,188.621029635672,206.348623242467,224.383812033585,241.255448460759,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","Pakistan","Agricultural Demand|Crops","million t DM/yr",50.6602924812863,58.8682785149445,68.6291318359208,76.258590793674,83.1946878026802,91.2525253184721,99.6752612299638,108.564959541088,117.907470322533,127.026972794266,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","Russia","Agricultural Demand|Crops","million t DM/yr",79.7792378200323,88.3338995644309,100.821081631938,102.295696605714,103.472913664832,105.273753599466,107.362381127098,111.483315510412,116.944479072009,121.973743091676,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","South Africa","Agricultural Demand|Crops","million t DM/yr",20.7567759586218,23.0354783888369,24.5627912847025,25.7124253985299,27.1517891426561,29.0000722047163,30.7689250900594,32.5790185438761,34.3954975956475,36.1073645430142,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","South America_Northern","Agricultural Demand|Crops","million t DM/yr",11.3708344419637,14.3437850612198,13.0258058852433,11.4060002030422,11.8954923350297,12.7753471894828,13.6223555357193,14.411210373212,15.1577276894947,15.9093625656445,0,0,0,0,0,0,0,0,0,0
