"Model","Scenario","Region","Variable","Unit","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060"
"GCAM 7.1","trn_EVcost-20_241121","Pakistan","Sales|Transportation|Light-Duty Vehicle|Battery-Electric","million",0,0,0,0,0.0175571503429366,0.125340686197172,0.157103424075401,0.168191418153289,0.168402693995112,0.178391223972052,0.223723050904983,0.248094993172726
"GCAM 7.1","trn_EVcost-20_241121","Russia","Sales|Transportation|Light-Duty Vehicle|Battery-Electric","million",0,0,0,0,0.411492488830932,1.4060720187179,1.46496278546444,1.47102538874007,1.27997005889359,1.29813150548214,1.44126505882298,1.45240258548045
"GCAM 7.1","trn_EVcost-20_241121","South Africa","Sales|Transportation|Light-Duty Vehicle|Battery-Electric","million",0,0,0,0,0.02992550373314,0.194577073747922,0.20518995356513,0.205425566364394,0.183851372283051,0.183604575388042,0.203969850282525,0.200990307546366
"GCAM 7.1","trn_EVcost-20_241121","South America_Northern","Sales|Transportation|Light-Duty Vehicle|Battery-Electric","million",0,0,0,0,0,0.0566548555815769,0.151386807181889,0.150790241998439,0.111672521467603,0.135770647931304,0.173003903200625,0.194811241217799
"GCAM 7.1","trn_EVcost-20_241121","South America_Southern","Sales|Transportation|Light-Duty Vehicle|Battery-Electric","million",0,0,0,0,0.276932786885246,0.706221701795472,0.74340281030445,0.812226385636222,0.8154012490242,0.869325526932084,0.954112412177986,0.987205308352849
"GCAM 7.1","trn_EVcost-20_241121","South Asia","Sales|Transportation|Light-Duty Vehicle|Battery-Electric","million",0,0,0,0,0.0165121554203957,0.0983923994056772,0.122494115601408,0.130693404202471,0.129103846400531,0.134969662809108,0.166433729238329,0.18315560177854
"GCAM 7.1","trn_EVcost-20_241121","South Korea","Sales|Transportation|Light-Duty Vehicle|Battery-Electric","million",0,0,0,0,0.158389180853596,0.543020003514706,0.530890555986937,0.528825912295941,0.47142846125229,0.457851000777663,0.46349245921862,0.442209787696931
"GCAM 7.1","trn_EVcost-20_241121","Southeast Asia","Sales|Transportation|Light-Duty Vehicle|Battery-Electric","million",0,0,0,0,0.135558499149548,0.71543970238007,0.823821442674124,0.864690553158874,0.826887885787429,0.84856922203652,0.970416134632907,0.991954344665499
"GCAM 7.1","trn_EVcost-20_241121","Taiwan","Sales|Transportation|Light-Duty Vehicle|Battery-Electric","million",0,0,0,0,0.0143999360259865,0.0806845705513296,0.0837657264648263,0.0828228661472699,0.0656049311949985,0.0640176338271283,0.0662833166000976,0.0620967102586262
"GCAM 7.1","trn_EVcost-20_241121","USA","Sales|Transportation|Light-Duty Vehicle|Battery-Electric","million",0,0,0,0,2.05471453419953,7.07238312421253,7.16592828190981,7.48731657886557,6.8381406562436,7.00178819905306,7.27007368191405,7.37790521099608
